"x"
"BRSR6.SA"
"GOAU4.SA"
"SANB4.SA"
"PETR4.SA"
"ITSA4.SA"
"ELET6.SA"
"ELET3.SA"
"BBAS3.SA"
"CSNA3.SA"
"CESP6.SA"
"BRFS3.SA"
"CCRO3.SA"
"HYPE3.SA"
"GGBR4.SA"
"AMAR3.SA"
"WEGE3.SA"
"FLRY3.SA"
"PFRM3.SA"
"ODPV3.SA"
"SLCE3.SA"
"LAME4.SA"
"ITUB4.SA"
"CYRE3.SA"
"BRML3.SA"
"RAIL3.SA"
"VIVT4.SA"
"CSMG3.SA"
"TRPL4.SA"
"SAPR4.SA"
"POMO4.SA"
"BTOW3.SA"
"AALR3.SA"
"ABCB4.SA"
"ABEV3.SA"
"ADHM3.SA"
"AELP3.SA"
"AFLT3.SA"
"AFLU3.SA"
"AGRO3.SA"
"AHEB6.SA"
"ALPA3.SA"
"ALPA4.SA"
"ALSC3.SA"
"ALUP3.SA"
"ALUP4.SA"
"AMAR3.SA"
"ANIM3.SA"
"ARZZ3.SA"
"ATOM3.SA"
"AZEV4.SA"
"AZUL4.SA"
"BAHI3.SA"
"BALM3.SA"
"BALM4.SA"
"BAUH4.SA"
"BAZA3.SA"
"BBAS3.SA"
"BBDC3.SA"
"BBDC4.SA"
"BBRK3.SA"
"BBSE3.SA"
"BBTG12.SA"
"BDLL4.SA"
"BEEF3.SA"
"BEES3.SA"
"BEES4.SA"
"BGIP3.SA"
"BGIP4.SA"
"BIOM3.SA"
"BMEB3.SA"
"BMEB4.SA"
"BMIN3.SA"
"BMIN4.SA"
"BMKS3.SA"
"BNBR3.SA"
"BOBR4.SA"
"BPAC3.SA"
"BPAC5.SA"
"BPAN4.SA"
"BPHA3.SA"
"BRAP3.SA"
"BRAP4.SA"
"BRFS3.SA"
"BRGE11.SA"
"BRGE12.SA"
"BRGE3.SA"
"BRGE6.SA"
"BRGE8.SA"
"BRIN3.SA"
"BRIV3.SA"
"BRIV4.SA"
"BRKM3.SA"
"BRKM5.SA"
"BRKM6.SA"
"BRML3.SA"
"BRPR3.SA"
"BRSR3.SA"
"BRSR5.SA"
"BRSR6.SA"
"BSEV3.SA"
"BSLI3.SA"
"BSLI4.SA"
"BTOW3.SA"
"BTTL3.SA"
"BTTL4.SA"
"BVMF3.SA"
"CAMB4.SA"
"CARD3.SA"
"CASN3.SA"
"CBEE3.SA"
"CCIM3.SA"
"CCPR3.SA"
"CCRO3.SA"
"CCXC3.SA"
"CEBR3.SA"
"CEBR5.SA"
"CEBR6.SA"
"CEDO3.SA"
"CEDO4.SA"
"CEEB3.SA"
"CEEB5.SA"
"CEED3.SA"
"CEED4.SA"
"CELP5.SA"
"CELP7.SA"
"CEPE5.SA"
"CEPE6.SA"
"CESP3.SA"
"CESP5.SA"
"CESP6.SA"
"CGAS3.SA"
"CGAS5.SA"
"CGRA3.SA"
"CGRA4.SA"
"CIEL3.SA"
"CLSC3.SA"
"CLSC4.SA"
"CMIG3.SA"
"CMIG4.SA"
"COCE3.SA"
"COCE5.SA"
"CPFE3.SA"
"CPLE3.SA"
"CPLE6.SA"
"CPRE3.SA"
"CRDE3.SA"
"CREM3.SA"
"CRIV3.SA"
"CRIV4.SA"
"CRPG3.SA"
"CRPG5.SA"
"CRPG6.SA"
"CSAB3.SA"
"CSAB4.SA"
"CSAN3.SA"
"CSMG3.SA"
"CSNA3.SA"
"CSRN3.SA"
"CSRN5.SA"
"CTAX3.SA"
"CTKA3.SA"
"CTKA4.SA"
"CTNM3.SA"
"CTNM4.SA"
"CTSA3.SA"
"CTSA4.SA"
"CVCB3.SA"
"CYRE3.SA"
"CZLT33.SA"
"DAGB33.SA"
"DASA3.SA"
"DIRR3.SA"
"DOHL3.SA"
"DOHL4.SA"
"DTCY3.SA"
"DTEX3.SA"
"EALT3.SA"
"EALT4.SA"
"ECOR3.SA"
"ECPR4.SA"
"EEEL3.SA"
"EEEL4.SA"
"EGIE3.SA"
"EKTR3.SA"
"EKTR4.SA"
"ELEK4.SA"
"ELET3.SA"
"ELET5.SA"
"ELET6.SA"
"ELPL3.SA"
"ELPL4.SA"
"EMAE4.SA"
"EMBR3.SA"
"ENBR3.SA"
"ENEV3.SA"
"ENGI11.SA"
"ENGI3.SA"
"ENGI4.SA"
"ENMT3.SA"
"ENMT4.SA"
"EQTL3.SA"
"ESTC3.SA"
"ESTR4.SA"
"ETER3.SA"
"EUCA3.SA"
"EUCA4.SA"
"EVEN3.SA"
"EZTC3.SA"
"FBMC4.SA"
"FESA3.SA"
"FESA4.SA"
"FHER3.SA"
"FIBR3.SA"
"FJTA3.SA"
"FJTA4.SA"
"FLRY3.SA"
"FRAS3.SA"
"FRIO3.SA"
"FRTA3.SA"
"GEPA3.SA"
"GEPA4.SA"
"GFSA3.SA"
"GGBR3.SA"
"GGBR4.SA"
"GOAU3.SA"
"GOAU4.SA"
"GOLL4.SA"
"GPCP3.SA"
"GPIV33.SA"
"GRND3.SA"
"GSHP3.SA"
"GUAR3.SA"
"GUAR4.SA"
"HAGA3.SA"
"HAGA4.SA"
"HBOR3.SA"
"HBTS5.SA"
"HETA4.SA"
"HGTX3.SA"
"HOOT4.SA"
"HYPE3.SA"
"IDNT3.SA"
"IDVL3.SA"
"IDVL4.SA"
"IGBR3.SA"
"IGTA3.SA"
"INEP3.SA"
"INEP4.SA"
"IRBR3.SA"
"ITSA3.SA"
"ITSA4.SA"
"ITUB3.SA"
"ITUB4.SA"
"JBDU3.SA"
"JBDU4.SA"
"JBSS3.SA"
"JFEN3.SA"
"JHSF3.SA"
"JOPA3.SA"
"JOPA4.SA"
"JSLG3.SA"
"KEPL3.SA"
"KLBN3.SA"
"KLBN4.SA"
"KROT3.SA"
"LAME3.SA"
"LAME4.SA"
"LCAM3.SA"
"LEVE3.SA"
"LIGT3.SA"
"LINX3.SA"
"LIPR3.SA"
"LIXC3.SA"
"LIXC4.SA"
"LLIS3.SA"
"LOGN3.SA"
"LPSB3.SA"
"LREN3.SA"
"LUPA3.SA"
"LUXM4.SA"
"MAGG3.SA"
"MAPT4.SA"
"MDIA3.SA"
"MEAL3.SA"
"MEND5.SA"
"MERC4.SA"
"MGEL4.SA"
"MGLU3.SA"
"MILS3.SA"
"MLFT3.SA"
"MLFT4.SA"
"MMXM3.SA"
"MNDL3.SA"
"MNPR3.SA"
"MOAR3.SA"
"MPLU3.SA"
"MRFG3.SA"
"MRVE3.SA"
"MSPA3.SA"
"MSPA4.SA"
"MTIG4.SA"
"MTSA4.SA"
"MULT3.SA"
"MWET4.SA"
"MYPK3.SA"
"NAFG3.SA"
"NAFG4.SA"
"NATU3.SA"
"NUTR3.SA"
"ODPV3.SA"
"OFSA3.SA"
"OGSA3.SA"
"OGXP3.SA"
"OIBR3.SA"
"OIBR4.SA"
"OSXB3.SA"
"PARD3.SA"
"PATI3.SA"
"PATI4.SA"
"PCAR4.SA"
"PDGR3.SA"
"PEAB3.SA"
"PETR3.SA"
"PETR4.SA"
"PFRM3.SA"
"PINE4.SA"
"PLAS3.SA"
"PMAM3.SA"
"PNVL3.SA"
"PNVL4.SA"
"POMO3.SA"
"POMO4.SA"
"POSI3.SA"
"PRBC4.SA"
"PRIO3.SA"
"PRML3.SA"
"PSSA3.SA"
"PTBL3.SA"
"PTNT3.SA"
"PTNT4.SA"
"QGEP3.SA"
"QUAL3.SA"
"RADL3.SA"
"RAIL3.SA"
"RANI3.SA"
"RANI4.SA"
"RAPT3.SA"
"RAPT4.SA"
"RCSL4.SA"
"RDNI3.SA"
"REDE3.SA"
"RENT3.SA"
"RLOG3.SA"
"RNEW3.SA"
"RNEW4.SA"
"ROMI3.SA"
"RPAD3.SA"
"RPAD5.SA"
"RPAD6.SA"
"RPMG3.SA"
"RSID3.SA"
"SANB11.SA"
"SANB3.SA"
"SANB4.SA"
"SAPR3.SA"
"SAPR4.SA"
"SBSP3.SA"
"SCAR3.SA"
"SEDU3.SA"
"SEER3.SA"
"SGPS3.SA"
"SHOW3.SA"
"SHUL4.SA"
"SLCE3.SA"
"SLED3.SA"
"SLED4.SA"
"SMLE3.SA"
"SMTO3.SA"
"SNSL3.SA"
"SNSY5.SA"
"SOND5.SA"
"SOND6.SA"
"SPRI3.SA"
"SPRI5.SA"
"SSBR3.SA"
"STBP3.SA"
