"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"JBDU4","1,65","-2,98","0,19","0,000","0,00%","0,050","0,00","-38,16","0,00","-109,11","0,00%","0,00%","0,00","0,00%","-6,38%","50.014,70","35.376.000,00","0,00","0,00%","Holdings Diversificadas","Holdings Diversificadas","J B DUARTE PN","PN"
"PNOR5","1,87","-2,90","0,55","0,354","0,00%","0,205","0,70","8,52","-2,32","4,57","4,15%","-11,74%","2,50","3,61%","-18,84%","0,00","158.071.000,00","0,42","1,34%","Químicos","Petroquímicos","PRONOR PNA","PNA"
"PNOR6","1,87","-2,90","0,55","0,354","0,00%","0,205","0,70","8,52","-2,32","4,57","4,15%","-11,74%","2,50","3,61%","-18,84%","0,00","158.071.000,00","0,42","1,34%","Químicos","Petroquímicos","PRONOR PNB","PNB"
"TELB3","43,71","-2,87","0,00","11,109","0,00%","0,000","0,00","-3,97","0,00","-3,97","-279,68%","-387,73%","0,00","0,00%","0,00%","288,86","0,00","0,00","59,69%","Outros","Outros","TELEBRAS ON","ON"
"STRP4","0,21","-2,85","-0,43","0,416","0,00%","0,111","-0,18","-0,45","-0,09","-1,15","-91,82%","-14,58%","0,13","-25,49%","14,95%","0,00","-12.498.000,00","-0,66","-36,39%","Tecidos, Vestuário e Calçados","Vestuário","STAROUP PN","PN"
"SLED3","5,20","-2,70","0,29","0,080","3,46%","0,119","0,38","-26,48","1,81","-71,10","-0,30%","-2,96%","1,88","-0,66%","-10,81%","6.006,50","474.912.000,00","0,63","-5,98%","Mídia","Jornais, Livros e Revistas","EDITORA SARAIVA ON","ON"
"RSUL4","24,50","-2,70","-0,21","0,126","0,00%","0,082","-0,12","0,81","-0,07","1,92","15,53%","-4,66%","0,24","10,57%","7,67%","0,00","-68.884.000,00","-0,29","-3,57%","Material de Transporte","Material Rodoviário","METALURGICA RIOSULENSE S/A PN","PN"
"MNPR4","4,63","-2,54","-0,12","0,171","0,00%","0,153","-8,07","1,71","-0,07","1,80","10,04%","-6,74%","0,89","9,29%","4,75%","0,00","-272.371.000,00","-0,01","-4,94%","Alimentos","Carnes e Derivados","MINUPAR PN","PN"
"BBRK3","1,26","-2,44","1,21","3,313","0,00%","0,833","16,79","-8,55","-5,73","-8,11","-38,75%","-128,41%","1,48","-10,50%","-49,55%","4.359.400,00","266.262.000,00","0,00","-30,94%","Construção e Engenharia","Intermediação Imobiliária","BR Brokers ON NM","ON NM"
"IGBR6","19,00","-2,43","-0,28","29,362","0,00%","0,959","-5,28","-280,18","-0,22","-1.359,27","-10,48%","-1.207,72%","0,08","-0,35%","11,52%","0,00","-848.323.000,00","-1,08","5,45%","Utilidades Domésticas","Eletrodomésticos","GRADIENTE PNB","PNB"
"BICB4","8,25","-2,43","2,21","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,00%","0,00","944.626.000,00","0,00","-31,19%","Financeiros","Bancos","BicBanco PN N1","PN N1"
"IGBR5","18,90","-2,42","-0,28","29,207","0,00%","0,954","-5,25","-278,71","-0,22","-1.357,80","-10,48%","-1.207,72%","0,08","-0,35%","11,52%","0,00","-848.323.000,00","-1,08","5,45%","Utilidades Domésticas","Eletrodomésticos","GRADIENTE PNA","PNA"
"SLED4","4,56","-2,37","0,26","0,070","3,95%","0,104","0,34","-23,22","1,58","-67,84","-0,30%","-2,96%","1,88","-0,66%","-10,81%","1.357.790,00","474.912.000,00","0,63","-5,98%","Mídia","Jornais, Livros e Revistas","EDITORA SARAIVA PN","PN"
"BICB3","8,00","-2,35","2,14","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,00%","0,00","944.626.000,00","0,00","-31,19%","Financeiros","Bancos","BicBanco ON N1","ON N1"
"CTNM3","6,00","-2,33","0,26","0,070","0,00%","0,056","0,39","0,98","-0,39","7,27","7,16%","-2,65%","1,45","6,38%","-11,12%","1.040,77","709.410.000,00","1,92","3,97%","Tecidos, Vestuário e Calçados","Fios e Tecidos","COTEMINAS ON","ON"
"CTNM4","5,95","-2,31","0,26","0,070","0,00%","0,056","0,39","0,97","-0,39","7,27","7,16%","-2,65%","1,45","6,38%","-11,12%","60.718,40","709.410.000,00","1,92","3,97%","Tecidos, Vestuário e Calçados","Fios e Tecidos","COTEMINAS PN","PN"
"ARLA4","3,38","-2,21","-0,62","2,137","0,00%","0,442","-0,31","-6,74","-0,29","-17,87","-31,72%","-96,55%","0,10","-13,71%","28,00%","0,00","-24.319.000,00","-1,02","-47,46%","Tecidos, Vestuário e Calçados","Couro","ARTHUR LANGE PN","PN"
"IDVL3","2,02","-2,15","0,76","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-35,28%","9.956,05","407.089.000,00","0,00","0,00%","Financeiros","Bancos","Indusval ON N1","ON N1"
"RNEW3","2,95","-2,09","0,63","2,051","0,00%","0,218","-0,86","1.447,91","-0,66","3.250,66","0,14%","-78,74%","0,56","0,02%","-30,05%","256.999,00","1.957.840.000,00","0,81","38,82%","Energia Elétrica","Energia Elétrica","RENOVA ON N2","ON N2"
"IDVL4","1,90","-2,02","0,71","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-35,28%","126.385,00","407.089.000,00","0,00","0,00%","Financeiros","Bancos","Indusval PN N1","PN N1"
