"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"DJON4","0,18","-1,70","0,22","-0,956","0,00%","0,166","-1,29","-1,42","-0,85","-1,98","67,37%","56,33%","0,24","-12,02%","-12,84%","0,00","2.702.000,00","0,09","45,19%","","","DIJON S/A PN","PN"
"TOYB4","4,05","-1,69","-0,59","1,892","0,00%","0,712","-0,61","-1,80","-0,45","-1,80","-105,01%","-111,91%","0,34","-47,07%","35,02%","46.482,20","-36.170.000,00","-0,00","-51,16%","Viagens e Lazer","Brinquedos e Jogos","TEC TOY PN","PN"
"ARLA3","2,47","-1,62","-0,45","1,562","0,00%","0,323","-0,22","-4,92","-0,21","-16,06","-31,72%","-96,55%","0,10","-13,71%","28,00%","0,00","-24.319.000,00","-1,02","-47,46%","Tecidos, Vestuário e Calçados","Couro","ARTHUR LANGE ON","ON"
"TOYB3","3,85","-1,61","-0,56","1,799","0,00%","0,677","-0,58","-1,71","-0,42","-1,71","-105,01%","-111,91%","0,34","-47,07%","35,02%","4.135,43","-36.170.000,00","-0,00","-51,16%","Viagens e Lazer","Brinquedos e Jogos","TEC TOY ON","ON"
"SDIA3","6,42","-1,59","9,41","0,397","0,00%","0,418","-3,29","9,53","-0,83","23,15","4,16%","-25,09%","0,78","5,89%","-590,66%","0,00","459.230.000,00","17,27","13,42%","Alimentos","Carnes e Derivados","SADIA ON N1","ON N1"
"SDIA4","6,42","-1,59","9,41","0,397","0,00%","0,418","-3,29","9,53","-0,83","23,15","4,16%","-25,09%","0,78","5,89%","-590,66%","0,00","459.230.000,00","17,27","13,42%","Alimentos","Carnes e Derivados","SADIA PN N1","PN N1"
"MTIG4","25,01","-1,58","0,24","0,043","0,00%","0,063","-0,62","-2,65","-0,29","-17,60","-1,63%","-2,74%","0,84","-2,81%","-15,30%","2.959,32","24.872.300,00","1,38","25,34%","Embalagens","Embalagens","IGUAÇU PN","PN"
"CRDE3","1,53","-1,58","0,40","7,175","0,00%","0,328","0,72","-6,08","0,83","-4,36","-118,09%","-493,52%","8,55","-6,11%","-25,40%","29.820,50","184.963.000,00","0,00","-42,33%","Construção e Engenharia","Construção Civil","CR2 ON","ON"
"DUQE3","28,00","-1,58","-11,29","12,103","0,00%","0,428","-0,74","-1,65","-0,57","-2,70","-732,92%","-767,60%","0,33","-28,21%","715,74%","0,00","-6.987.000,00","-7,19","-42,70%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","METALURGICA DUQUE SA ON","ON"
"MNPR3","2,79","-1,53","-0,07","0,103","0,00%","0,092","-4,86","1,03","-0,04","1,12","10,04%","-6,74%","0,89","9,29%","4,75%","50.225,50","-272.371.000,00","-0,01","-4,94%","Alimentos","Carnes e Derivados","MINUPAR ON","ON"
"MGEL4","4,32","-1,50","-0,08","0,059","0,00%","0,068","0,33","7,13","-0,05","150,42","0,82%","-10,96%","2,09","1,22%","5,35%","54.910,90","-311.774.000,00","-1,79","2,40%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","MANGELS PN N1","PN N1"
"SPRI5","8,00","-1,44","0,36","0,662","0,00%","0,333","1,74","-1,86","2,24","-0,91","-35,50%","-44,34%","5,93","-21,86%","-25,30%","223,32","55.574.000,00","0,00","-29,09%","Utilidades Domésticas","Eletrodomésticos","SPRINGER PNA","PNA"
"LIXC4","1,25","-1,41","1,01","45,154","0,00%","0,050","0,21","-3,08","2,32","-5,27","-1.465,96%","-3.040,96%","1,33","-1,87%","-71,33%","7.033,68","14.861.000,00","0,73","-63,43%","Construção e Engenharia","Construção Pesada","LIX DA CUNHA PN","PN"
"LIXC3","1,25","-1,41","1,01","45,154","0,00%","0,050","0,21","-3,08","2,32","-5,27","-1.465,96%","-3.040,96%","1,33","-1,87%","-71,33%","1.069,55","14.861.000,00","0,73","-63,43%","Construção e Engenharia","Construção Pesada","LIX DA CUNHA ON","ON"
"ECPR4","39,87","-1,41","0,94","0,000","0,00%","0,266","0,00","-68,49","0,00","-84,76","0,00%","0,00%","0,00","0,00%","-66,99%","906,14","80.464.000,00","0,00","-89,55%","Tecidos, Vestuário e Calçados","Fios e Tecidos","ENCORPAR PN","PN"
"CAMB4","8,00","-1,39","-0,76","0,113","0,00%","0,130","-0,33","1,93","-0,24","10,32","5,85%","-8,07%","0,61","7,91%","54,35%","7.932,77","-40.742.000,00","-3,39","-0,08%","Tecidos, Vestuário e Calçados","Calçados","PENALTY PN","PN"
"VTLM3","0,79","-1,39","-0,98","0,000","0,00%","2,552","0,00","-0,70","0,00","-0,70","0,00%","0,00%","0,00","0,00%","70,09%","0,00","-6.126.000,00","0,00","0,00%","Prods. de Uso Pessoal e de Limpeza","Produtos de Uso Pessoal","VITALYZE.ME ON","ON"
"TCSA3","2,35","-1,38","0,57","2,526","0,00%","0,284","1,17","-2,78","8,25","-5,27","-90,72%","-186,19%","1,84","-10,55%","-41,21%","5.807.310,00","1.366.250.000,00","0,56","-34,03%","Construção e Engenharia","Construção Civil","TECNISA ON NM","ON NM"
"BSEV3","5,25","-1,33","-0,95","0,158","0,00%","0,125","-1,46","-9,40","-0,16","-52,11","-1,68%","-11,86%","0,79","-1,62%","71,43%","303.148,00","-1.209.660.000,00","-5,02","22,12%","Alimentos","Açucar e Alcool","BIOSEV ON NM","ON NM"
"PMET6","0,20","-1,21","-0,05","1,390","0,00%","9,307","-0,07","27,69","-0,05","441,57","5,02%","-114,49%","0,01","38,97%","4,10%","0,00","-290.863.000,00","-0,74","37,74%","Viagens e Lazer","Bicicletas","PRO METALURG PNB","PNB"
"RPMG3","9,70","-1,16","-0,31","0,923","0,00%","1,025","-0,44","-1,00","-0,28","-1,07","-92,18%","-79,42%","0,23","-106,14%","26,44%","101.888,00","-2.137.820.000,00","-0,02","-1,12%","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino","REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A ON","ON"
"AZEV3","2,48","-1,15","-3,71","1,146","0,00%","0,410","-3,17","-1,16","-0,70","-1,72","-98,59%","-85,93%","0,80","-41,46%","322,84%","0,00","-18.053.000,00","-1,95","-18,45%","Construção e Engenharia","Construção Pesada","AZEVEDO & TRAVASSOS ON","ON"
"BRIN3","15,74","-1,14","0,37","1,134","0,00%","0,324","2,14","-0,99","2,74","-0,60","-114,37%","-99,69%","2,92","-38,09%","-32,21%","872.692,00","329.974.000,00","0,00","-19,06%","Previdência e Seguros","Corretoras de Seguros","BR Insurance ON NM","ON NM"
"FJTA4","2,51","-1,11","-0,85","0,193","0,00%","0,174","2,13","-2,30","-0,27","-12,01","-8,42%","-17,40%","1,17","-9,25%","76,87%","417.168,00","-190.216.000,00","-3,68","3,97%","Máquinas e Equipamentos","Armas e Munições","FORJAS TAURUS SA PN","PN"
"ECPR3","30,00","-1,06","0,71","0,000","0,00%","0,200","0,00","-51,54","0,00","-67,81","0,00%","0,00%","0,00","0,00%","-66,99%","0,00","80.464.000,00","0,00","-89,55%","Tecidos, Vestuário e Calçados","Fios e Tecidos","ENCORPAR ON","ON"
"LGLO4","100,00","-1,05","0,65","0,225","0,00%","0,192","-0,32","-1,24","-0,63","-2,13","-18,10%","-21,47%","0,14","-18,37%","-62,51%","0,00","5.191.000,00","0,49","-11,42%","Comércio","Livrarias e Papelarias","LIVRARIA DO GLOBO S/A PN","PN"
"FJTA3","2,25","-1,00","-0,77","0,173","0,00%","0,156","1,91","-2,06","-0,24","-11,77","-8,42%","-17,40%","1,17","-9,25%","76,87%","19.153,80","-190.216.000,00","-3,68","3,97%","Máquinas e Equipamentos","Armas e Munições","FORJAS TAURUS SA ON","ON"
"JFEN3","0,84","-0,92","0,85","2,686","0,00%","0,185","0,74","-2,50","-2,93","-8,45","-107,37%","-299,88%","1,53","-7,66%","-93,11%","131.311,00","531.809.000,00","2,09","-30,78%","Construção e Engenharia","Construção Civil","JOÃO FORTES ENGENHARIA S.A. ON","ON"
"DHBI3","19,00","-0,83","-0,17","0,869","0,00%","0,343","-0,16","-3,68","-0,13","-24,58","-23,58%","-154,81%","0,12","-10,50%","21,03%","0,00","-456.340.000,00","-0,99","-23,62%","Material de Transporte","Material Rodoviário","DHB ON","ON"
"LETO5","2,06","-0,83","-0,14","0,000","0,00%","0,248","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,05%","0,00","-58.642.000,00","0,00","-17,38%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","MITTO PNA","PNA"
"SCLO3","14,10","-0,82","-0,07","12,510","0,00%","0,132","-0,07","-5,45","-0,05","-41,15","-229,48%","-952,03%","0,01","-2,67%","9,00%","0,00","-182.681.000,00","-0,49","17,34%","Tecidos, Vestuário e Calçados","Fios e Tecidos","SCHLOSSER TECIDOS ON","ON"
"IENG3","0,15","-0,81","0,99","1,717","0,00%","0,110","-1,17","3,88","-0,30","25,11","44,29%","-224,61%","0,85","2,84%","-122,41%","0,00","52.234.000,00","5,45","8,13%","Energia Elétrica","Energia Elétrica","INEPAR ENERGIA ON","ON"
"TPIS3","3,55","-0,77","1,52","0,415","0,00%","0,137","-0,40","2,21","-0,19","11,86","18,79%","-55,39%","0,32","6,50%","-198,65%","4.501.460,00","410.212.000,00","6,92","15,59%","Transporte","Exploração de Rodovias","TRIUNFO PARTICIPACOES SA ON NM","ON NM"
"RCSL4","0,60","-0,72","-0,25","0,000","0,00%","0,478","0,00","-20,53","0,00","-26,36","0,00%","0,00%","0,00","0,00%","34,39%","557.553,00","-91.715.000,00","0,00","-75,26%","Material de Transporte","Material Rodoviário","RECRUSUL PN","PN"
"ELEK4","7,00","-0,72","1,84","0,266","0,00%","0,520","1,97","-11,18","-4,07","-19,82","-2,38%","-37,18%","1,81","-5,51%","-257,18%","1.947,84","119.566.000,00","1,65","-6,57%","Químicos","Petroquímicos","ELEKEIROZ S/A PN","PN"
"BPHA3","5,21","-0,70","-7,70","0,829","0,00%","0,441","-5,50","-1,14","-0,51","-2,93","-72,62%","-118,37%","0,70","-46,18%","1.099,31%","418.901,00","-76.514.000,00","-12,46","-26,83%","Comércio e Distribuição","Medicamentos","BRAZIL PHARMA S.A. ON NM","ON NM"
"CELM3","15,00","-0,67","-0,16","0,257","0,00%","0,132","-0,21","-1,02","-0,10","-4,26","-25,14%","-38,36%","0,44","-15,60%","23,41%","0,00","-11.104.000,00","-0,66","5,80%","Máquinas e Equipamentos","Máqs. e Equips. Hospitalares","CELM CIA EQUIP. DE LABORATORIOS MODERNOS ON","ON"
"BDLL3","51,00","-0,67","0,30","0,435","0,00%","0,094","-1,46","-0,80","-0,28","-2,57","-54,52%","-65,29%","0,84","-13,28%","-45,50%","0,00","268.919.000,00","0,68","-15,65%","Máquinas e Equipamentos","Máqs. e Equips. Industriais","BAEDELLA ON","ON"
"IENG5","0,12","-0,65","0,79","1,374","0,00%","0,088","-0,93","3,10","-0,24","24,33","44,29%","-224,61%","0,85","2,84%","-122,41%","0,00","52.234.000,00","5,45","8,13%","Energia Elétrica","Energia Elétrica","INEPAR ENERGIA PNA","PNA"
"CEDO3","5,01","-0,63","0,72","0,087","0,00%","0,086","-1,32","3,17","-0,22","17,33","2,73%","-13,64%","0,87","3,11%","-114,93%","658,21","69.548.000,00","3,35","-2,19%","Tecidos, Vestuário e Calçados","Fios e Tecidos","CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON","ON"
"CEDO4","4,99","-0,62","0,72","0,086","0,00%","0,086","-1,31","3,16","-0,22","17,32","2,73%","-13,64%","0,87","3,11%","-114,93%","8.190,86","69.548.000,00","3,35","-2,19%","Tecidos, Vestuário e Calçados","Fios e Tecidos","CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN","PN"
"CTKA3","4,65","-0,59","-0,14","0,094","0,00%","0,096","-0,10","4,62","-0,08","61,37","2,04%","-16,06%","0,35","2,35%","23,75%","128,34","-207.295.000,00","-1,75","-3,77%","Tecidos, Vestuário e Calçados","Fios e Tecidos","KARSTEN ON","ON"
"CTKA4","4,49","-0,57","-0,13","0,091","0,00%","0,092","-0,09","4,46","-0,08","61,21","2,04%","-16,06%","0,35","2,35%","23,75%","40.866,90","-207.295.000,00","-1,75","-3,77%","Tecidos, Vestuário e Calçados","Fios e Tecidos","KARSTEN PN","PN"
"ELEK3","5,30","-0,54","1,40","0,202","0,00%","0,393","1,49","-8,46","-3,08","-17,10","-2,38%","-37,18%","1,81","-5,51%","-257,18%","0,00","119.566.000,00","1,65","-6,57%","Químicos","Petroquímicos","ELEKEIROZ S/A ON","ON"
"APTI4","320,00","-0,54","0,02","0,180","0,00%","0,014","0,15","-0,59","-0,07","-3,94","-30,29%","-33,36%","2,44","-2,51%","-4,32%","0,00","262.888.000,00","0,18","-17,58%","","","ALIPERTI PN","PN"
"BMIN3","0,82","-0,52","0,03","0,000","258,28%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-4,93%","1.078,64","57.937.000,00","0,00","41,71%","Financeiros","Bancos","BANCO MERCANTIL DE INVESTIMENTOS SA ON","ON"
"CEED3","36,00","-0,52","-0,26","0,150","0,00%","0,104","-0,31","-0,52","-0,09","-1,17","-28,91%","-28,75%","0,39","-24,33%","50,34%","3.031,57","-1.328.510.000,00","-0,34","3,07%","Energia Elétrica","Energia Elétrica","CEEE-D ON N1","ON N1"
"OIBR3","4,90","-0,50","0,48","0,164","0,00%","0,049","-0,10","6,71","-0,08","80,49","2,44%","-32,99%","0,40","0,88%","-95,77%","6.510.650,00","8.441.150.000,00","6,14","-3,78%","Telefonia Fixa","Telefonia Fixa","OI ON N1","ON N1"
"AZEV4","1,07","-0,50","-1,60","0,494","0,00%","0,177","-1,37","-0,50","-0,30","-1,06","-98,59%","-85,93%","0,80","-41,46%","322,84%","4.130,86","-18.053.000,00","-1,95","-18,45%","Construção e Engenharia","Construção Pesada","AZEVEDO & TRAVASSOS PN","PN"
"REEM4","4,63","-0,48","-0,08","0,197","0,00%","0,137","-0,14","-4,33","-0,07","-3,84","-4,54%","-40,65%","0,45","4,61%","15,78%","0,00","-372.708.000,00","-0,00","-13,59%","Embalagens","Embalagens","RHEEM EMPRS PN","PN"
"CEED4","33,00","-0,48","-0,24","0,137","0,00%","0,096","-0,28","-0,48","-0,08","-1,13","-28,91%","-28,75%","0,39","-24,33%","50,34%","304,55","-1.328.510.000,00","-0,34","3,07%","Energia Elétrica","Energia Elétrica","CEEE-D PN N1","PN N1"
"BDLL4","36,01","-0,47","0,21","0,307","0,00%","0,067","-1,03","-0,56","-0,20","-2,34","-54,52%","-65,29%","0,84","-13,28%","-45,50%","5.391,80","268.919.000,00","0,68","-15,65%","Máquinas e Equipamentos","Máqs. e Equips. Industriais","BAEDELLA PN","PN"
"DOCA3","11,00","-0,40","-0,03","-3,064","0,00%","0,030","-0,32","-0,26","-0,02","-6,86","1.165,92%","636,17%","0,61","-12,48%","8,24%","0,00","-390.317.000,00","-0,82","-38,80%","Mídia","Jornais, Livros e Revistas","DOCAS S.A. ON","ON"
"FGUI4","0,38","-0,39","-0,07","0,507","0,00%","0,798","-0,07","-1,83","-0,06","-14,24","-27,72%","-129,00%","0,04","-60,74%","17,32%","0,00","-222.024.000,00","-0,46","2,13%","Tecidos, Vestuário e Calçados","Fios e Tecidos","FERREIRA GUIMARAES PN","PN"
"OIBR4","3,60","-0,37","0,35","0,120","0,00%","0,036","-0,08","4,93","-0,06","78,71","2,44%","-32,99%","0,40","0,88%","-95,77%","7.315.310,00","8.441.150.000,00","6,14","-3,78%","Telefonia Fixa","Telefonia Fixa","OI ON N1","ON N1"
"WISA4","0,25","-0,35","-0,01","0,219","0,00%","0,029","-0,06","-0,31","-0,01","-19,27","-71,41%","-62,75%","0,18","-9,78%","2,39%","0,00","-205.386.000,00","-0,52","-48,66%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","WIEST SA PN","PN"
"MTIG3","5,21","-0,33","0,05","0,009","0,00%","0,013","-0,13","-0,55","-0,06","-15,50","-1,63%","-2,74%","0,84","-2,81%","-15,30%","0,00","24.872.300,00","1,38","25,34%","Embalagens","Embalagens","IGUAÇU ON","ON"
"LETO3","0,80","-0,32","-0,05","0,000","0,00%","0,096","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,05%","0,00","-58.642.000,00","0,00","-17,38%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","MITTO ON","ON"
"GFSA3","14,01","-0,30","0,29","1,225","0,00%","0,106","0,88","-0,90","-1,02","-3,45","-136,13%","-405,81%","1,30","-12,82%","-94,69%","5.042.870,00","1.374.350.000,00","0,97","-37,59%","Construção e Engenharia","Construção Civil","GAFISA ON","ON"
"WISA3","0,20","-0,28","-0,01","0,175","0,00%","0,023","-0,05","-0,25","-0,01","-19,21","-71,41%","-62,75%","0,18","-9,78%","2,39%","0,00","-205.386.000,00","-0,52","-48,66%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","WIEST SA ON","ON"
"MWET4","2,75","-0,27","-0,04","0,050","0,00%","0,030","-0,05","-0,37","-0,02","-4,76","-13,61%","-18,57%","0,24","-9,82%","13,23%","2.399,75","-158.221.000,00","-0,46","-15,54%","Material de Transporte","Material Rodoviário","WETZEL S.A. PN","PN"
"RSID3","7,27","-0,22","0,32","0,241","0,00%","0,028","-0,18","-0,85","-0,06","-14,44","-28,53%","-114,42%","0,72","-3,43%","-146,46%","1.548.350,00","390.480.000,00","5,31","-32,27%","Construção e Engenharia","Construção Civil","ROSSI RESIDENCIAL ON N1","ON N1"
"MEND6","5,50","-0,21","-0,01","-20,286","0,00%","0,059","-0,05","1,93","-0,01","265,39","-1.050,34%","9.686,37%","0,01","3,06%","3,22%","0,00","-8.417.470.000,00","-0,92","49,73%","Construção e Engenharia","Construção Pesada","MENDES JUNIOR ENGENHARIA S/A PNB","PNB"
"TXRX3","3,90","-0,20","-0,03","0,192","0,00%","0,093","-0,06","4,06","-0,03","15,77","4,73%","-94,42%","0,15","3,25%","16,10%","8,86","-508.129.000,00","-0,09","2,14%","Tecidos, Vestuário e Calçados","Fios e Tecidos","RENAUX ON","ON"
"OGSA3","1,47","-0,20","-0,17","0,529","0,00%","0,091","-0,09","-1,07","-0,07","-7,58","-49,57%","-261,12%","0,17","-9,88%","82,06%","3.767.400,00","-1.178.400.000,00","-1,23","-29,17%","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino","NOVA OLEO ON","ON"
"DOCA4","5,00","-0,18","-0,01","-1,393","0,00%","0,014","-0,15","-0,12","-0,01","-6,71","1.165,92%","636,17%","0,61","-12,48%","8,24%","0,00","-390.317.000,00","-0,82","-38,80%","Mídia","Jornais, Livros e Revistas","DOCAS S.A. PN","PN"
"IGBR3","1,34","-0,17","-0,02","2,071","0,00%","0,068","-0,37","-19,76","-0,02","-1.098,85","-10,48%","-1.207,72%","0,08","-0,35%","11,52%","70.304,00","-848.323.000,00","-1,08","5,45%","Utilidades Domésticas","Eletrodomésticos","GRADIENTE ON","ON"
"DUQE4","2,95","-0,17","-1,19","1,275","0,00%","0,045","-0,08","-0,17","-0,06","-1,23","-732,92%","-767,60%","0,33","-28,21%","715,74%","0,00","-6.987.000,00","-7,19","-42,70%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","METALURGICA DUQUE SA PN","PN"
"CTAX3","5,00","-0,17","-0,13","0,011","0,00%","0,011","-0,26","-0,15","-0,02","-9,90","-7,16%","-6,69%","0,90","-8,44%","76,65%","381.545,00","-165.358.000,00","-9,04","-15,19%","Serviços","Serviços Diversos","CONTAX PARTICIPAÇÕES S.A. ON N2","ON N2"
"MEND5","4,23","-0,16","-0,01","-15,602","0,00%","0,045","-0,04","1,49","-0,00","264,95","-1.050,34%","9.686,37%","0,01","3,06%","3,22%","47,59","-8.417.470.000,00","-0,92","49,73%","Construção e Engenharia","Construção Pesada","MENDES JUNIOR ENGENHARIA S/A PNA","PNA"
"PLAS3","6,50","-0,16","-0,12","0,088","0,00%","0,058","-0,04","-0,46","-0,04","-5,39","-19,01%","-54,76%","0,10","-13,53%","74,98%","79.521,10","-268.265.000,00","-1,29","-22,17%","Material de Transporte","Material Rodoviário","PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A ON","ON"
"LOGN3","3,53","-0,15","-0,23","0,119","0,00%","0,067","0,80","-0,79","-0,07","-12,88","-15,19%","-78,06%","1,36","-9,60%","149,63%","469.762,00","-360.213.000,00","-3,60","-0,76%","Transporte","Transporte Hidroviário","Log-In ON NM","ON NM"
"FTRX3","0,13","-0,15","-0,02","0,206","0,00%","0,023","-0,04","-0,19","-0,01","-1,77","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%","Tecidos, Vestuário e Calçados","Fios e Tecidos","FAB TECIDOS C RENAUX ON","ON"
"ESTR4","10,16","-0,14","-0,02","0,059","0,00%","0,041","-0,02","-0,81","-0,02","-5,47","-7,34%","-41,63%","0,17","-5,52%","13,72%","14.900,00","-421.476.000,00","-0,12","4,09%","Viagens e Lazer","Brinquedos e Jogos","ESTRELA PN","PN"
"TXRX4","2,62","-0,14","-0,02","0,129","0,00%","0,062","-0,04","2,73","-0,02","14,44","4,73%","-94,42%","0,15","3,25%","16,10%","7.491,30","-508.129.000,00","-0,09","2,14%","Tecidos, Vestuário e Calçados","Fios e Tecidos","RENAUX PN","PN"
"SJOS4","0,09","-0,13","-0,01","0,000","0,00%","0,262","0,00","-0,56","0,00","-12,08","0,00%","0,00%","0,00","0,00%","5,34%","0,00","-173.563.000,00","0,00","0,00%","Tecidos, Vestuário e Calçados","Fios e Tecidos","SÃO JOSÉ PN","PN"
"NUTR3","16,01","-0,13","-0,15","0,064","0,00%","0,030","-0,09","-0,98","-0,04","-6,01","-6,47%","-49,32%","0,52","-6,12%","116,71%","838,61","-13.604.000,00","-0,92","-13,77%","Químicos","Fertilizantes e Defensivos","NUTRIPLANT ON","ON"
"FTRX4","0,11","-0,13","-0,02","0,174","0,00%","0,019","-0,03","-0,16","-0,01","-1,74","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%","Tecidos, Vestuário e Calçados","Fios e Tecidos","FAB TECIDOS C RENAUX PN","PN"
"FBMC4","3,80","-0,08","-0,07","0,054","0,00%","0,054","-0,15","-0,07","-0,04","-0,36","-74,99%","-64,27%","0,52","-96,06%","85,09%","983,27","-38.641.000,00","-0,33","-17,46%","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","FIBAM PN","PN"
"VPTA4","10,50","-0,07","-0,01","0,260","0,00%","0,054","-0,02","-0,13","-0,01","-6,89","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%","Transporte","Transporte Aéreo","VPTA PN","PN"
"CCXC3","1,06","-0,06","-0,52","0,000","0,00%","0,685","0,00","6,55","0,00","5,85","0,00%","0,00%","0,00","0,00%","830,58%","71.582,30","-34.916.000,00","0,00","0,00%","Mineração","Minerais Metálicos","CCX CARVAO ON NM","ON NM"
"SPRI6","0,33","-0,06","0,02","0,027","0,00%","0,014","0,07","-0,08","0,09","0,88","-35,50%","-44,34%","5,93","-21,86%","-25,30%","0,00","55.574.000,00","0,00","-29,09%","Utilidades Domésticas","Eletrodomésticos","SPRINGER PNB","PNB"
"VPSC4","9,99","-0,05","4,30","0,029","0,00%","0,033","-0,06","-0,13","-0,06","-0,20","-22,82%","-55,90%","0,43","-28,56%","-8.246,83%","0,00","1.232.000,00","6,15","-10,02%","Transporte","Serviços de Apoio e Armazenagem","VPSC PN","PN"
"VAGV3","1,14","-0,05","-0,01","0,014","0,00%","0,037","-0,08","-0,27","-0,01","-8,90","-5,08%","-29,29%","0,52","-15,14%","20,73%","0,00","-8.194.580.000,00","-0,31","1,06%","Transporte","Transporte Aéreo","SAVIRG ON","ON"
"DHBI4","1,01","-0,04","-0,01","0,046","0,00%","0,018","-0,01","-0,20","-0,01","-21,09","-23,58%","-154,81%","0,12","-10,50%","21,03%","0,00","-456.340.000,00","-0,99","-23,62%","Material de Transporte","Material Rodoviário","DHB PN","PN"
"VAGV4","1,02","-0,04","-0,01","0,012","0,00%","0,033","-0,07","-0,24","-0,01","-8,87","-5,08%","-29,29%","0,52","-15,14%","20,73%","0,00","-8.194.580.000,00","-0,31","1,06%","Transporte","Transporte Aéreo","SAVIRG PN","PN"
"INEP3","3,19","-0,04","-0,02","0,059","0,00%","0,007","-0,01","-0,04","-0,01","-3,04","-167,39%","-149,97%","0,28","-22,96%","50,24%","734,27","-1.052.100.000,00","-1,65","-30,05%","Máquinas e Equipamentos","Máqs. e Equips. Industriais","INEPAR S/A ON","ON"
"GAFP3","0,12","-0,04","-0,01","0,372","0,00%","0,015","-0,09","-0,48","-0,01","-46,92","-77,57%","-981,28%","0,51","-3,21%","38,79%","0,00","-80.712.500,00","-1,43","-58,09%","Construção e Engenharia","Construção Civil","CIMOB ON","ON"
"VIVR3","2,60","-0,04","-0,02","-0,200","0,00%","0,012","-0,02","-0,15","-0,01","-13,73","136,39%","534,82%","0,54","-8,78%","47,73%","152.533,00","-623.559.000,00","-1,71","-20,31%","Construção e Engenharia","Construção Civil","VIVER ON NM","ON NM"
"INEP4","3,00","-0,04","-0,02","0,055","0,00%","0,007","-0,01","-0,03","-0,01","-3,04","-167,39%","-149,97%","0,28","-22,96%","50,24%","66.855,00","-1.052.100.000,00","-1,65","-30,05%","Máquinas e Equipamentos","Máqs. e Equips. Industriais","INEPAR S/A PN","PN"
"ARTE3","7,70","-0,04","-0,04","0,000","0,00%","0,103","0,00","-0,52","0,00","-15,85","0,00%","0,00%","0,00","0,00%","102,90%","0,00","-33.570.000,00","0,00","-64,35%","","","KUALA S.A. ON","ON"
"TROR3","2,63","-0,03","-0,01","0,598","0,00%","0,532","-0,01","-6,57","-0,01","-728,92","-9,11%","-1.745,52%","0,01","-9,77%","21,14%","0,00","-1.959.650.000,00","-0,80","6,34%","Materiais Diversos","Materiais Diversos","TRORION ON","ON"
"SNSY5","26,00","-0,03","-0,01","0,014","0,00%","0,013","-0,77","-0,07","-0,00","-0,86","-20,49%","-43,97%","0,97","-21,31%","18,32%","5.264,75","-822.695.000,00","-0,08","-6,25%","","","SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA","PNA"
"OSXB3","10,91","-0,03","-0,01","8,761","0,00%","0,020","-0,10","-0,06","-0,01","-6,59","-13.590,50%","-27.570,00%","0,08","-33,58%","36,64%","9.059,11","-2.949.870.000,00","-1,18","-66,97%","Petróleo, Gás e Biocombustíveis","Máquinas e Equipamentos","OSX BRASIL ON NM","ON NM"
"VPSC3","6,03","-0,03","2,59","0,017","0,00%","0,020","-0,03","-0,08","-0,04","-0,15","-22,82%","-55,90%","0,43","-28,56%","-8.246,83%","0,00","1.232.000,00","6,15","-10,02%","Transporte","Serviços de Apoio e Armazenagem","VPSC ON","ON"
"VPTA3","5,00","-0,03","-0,00","0,124","0,00%","0,026","-0,01","-0,06","-0,00","-6,82","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%","Transporte","Transporte Aéreo","VPTA ON","ON"
"ARTE4","6,81","-0,03","-0,03","0,000","0,00%","0,091","0,00","-0,46","0,00","-15,79","0,00%","0,00%","0,00","0,00%","102,90%","0,00","-33.570.000,00","0,00","-64,35%","","","KUALA S.A. PN","PN"
